epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,39.5428,0.795,0.57579,0.9769,1,0.99942,0.995,0.78407,0.75991,0.45001,0.96284,0.0015842,0.0015842,0.0015842
44,40.6208,0.80905,0.58319,1.01034,1,0.99948,0.995,0.81212,0.73029,0.4342,0.94975,0.0015743,0.0015743,0.0015743
45,41.5167,0.84684,0.56009,0.98839,1,0.99973,0.995,0.80067,0.77291,0.43688,0.9647,0.0015644,0.0015644,0.0015644
46,42.3805,0.80193,0.54958,0.97241,0.99997,1,0.995,0.79372,0.77352,0.44651,0.96692,0.0015545,0.0015545,0.0015545
47,43.3808,0.82582,0.54226,0.9791,0.99959,1,0.995,0.80153,0.76258,0.45313,0.9704,0.0015446,0.0015446,0.0015446
48,44.235,0.82808,0.53967,0.99661,0.99902,1,0.995,0.80269,0.7948,0.44274,0.97845,0.0015347,0.0015347,0.0015347
49,45.0685,0.81705,0.52494,0.99791,0.99758,1,0.995,0.80698,0.79346,0.43901,0.96547,0.0015248,0.0015248,0.0015248
50,46.0485,0.79076,0.50954,0.97774,0.99332,1,0.995,0.79351,0.80409,0.46041,0.98541,0.0015149,0.0015149,0.0015149
51,46.8089,0.79832,0.50872,0.98166,0.99258,1,0.995,0.79745,0.79549,0.44605,0.99622,0.001505,0.001505,0.001505
52,47.6971,0.78997,0.5175,0.97213,0.99887,1,0.995,0.79549,0.77933,0.4067,0.97935,0.0014951,0.0014951,0.0014951
53,48.5502,0.80742,0.54677,1.00269,1,0.99953,0.995,0.79666,0.77452,0.40967,0.97205,0.0014852,0.0014852,0.0014852
54,49.3802,0.84443,0.5466,0.99244,0.99874,0.98305,0.99467,0.80425,0.77036,0.44766,0.96561,0.0014753,0.0014753,0.0014753
55,50.3129,0.7952,0.53916,0.9739,1,0.9986,0.995,0.80271,0.78338,0.44966,0.96697,0.0014654,0.0014654,0.0014654
56,51.1796,0.78387,0.51461,0.98708,1,0.99968,0.995,0.82183,0.7376,0.43366,0.9506,0.0014555,0.0014555,0.0014555
57,52.0532,0.7817,0.50583,0.99133,1,0.99959,0.995,0.80061,0.77808,0.43441,0.96716,0.0014456,0.0014456,0.0014456
58,53.0584,0.79805,0.49013,0.96562,0.98329,0.99768,0.99367,0.80602,0.74837,0.43222,0.95162,0.0014357,0.0014357,0.0014357
59,53.8576,0.82889,0.52057,1.002,0.98332,0.99905,0.99333,0.81173,0.72461,0.45458,0.94245,0.0014258,0.0014258,0.0014258
60,54.6807,0.79254,0.50196,0.96222,0.96585,1,0.99248,0.81406,0.72713,0.44102,0.94925,0.0014159,0.0014159,0.0014159
61,55.4338,0.82086,0.50441,0.98115,0.98208,1,0.9925,0.81068,0.74076,0.42378,0.94793,0.001406,0.001406,0.001406
62,56.2872,0.73299,0.46698,0.93377,0.99623,1,0.995,0.80773,0.74124,0.41871,0.95265,0.0013961,0.0013961,0.0013961
